playlist_id,video_id,title,published,view_count,like_count,comment_count,duration,definition,tags,default_audio_language,madeforkid,playlist_title,channel_id,channelTitle,playlist_published,playlist_numvideo
PLzMcBGfZo4-kBvY2DaxdSvoN_jGpzbw5V,XCIBOl3FTKo,Mini Python Project Tutorial - Password Generator,2023-02-14T14:44:15Z,59031,1828,137,PT18M27S,hd,"['tech with tim', 'python', 'python tutorial', 'python projects', 'learn python', 'python for beginners', 'python programming', 'python tutorial for beginners', 'python projects for beginners', 'python project ideas', 'python course', 'beginner python project', 'python automation projects', 'python project tech with tim', 'python (programming language)', 'python projects for intermediate', 'python project', 'mini python projects', 'python programming tutorial', 'python tutorial project', 'mini python project']",en-CA,False,Mini Python Projects!,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2023-02-14T15:58:02Z,2
PLzMcBGfZo4-kBvY2DaxdSvoN_jGpzbw5V,no5dz0GOWy8,Mini Python Project Tutorial - Alarm Clock,2023-02-17T15:00:41Z,50262,1692,130,PT13M24S,hd,"['tech with tim', 'python', 'python tutorial', 'python projects', 'learn python', 'python for beginners', 'python programming', 'python tutorial for beginners', 'python projects for beginners', 'python project ideas', 'python course', 'beginner python project', 'python automation projects', 'python project tech with tim', 'python (programming language)', 'python projects for intermediate', 'python project', 'mini python projects', 'python programming tutorial', 'python tutorial project', 'mini python project']",en-CA,False,Mini Python Projects!,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2023-02-14T15:58:02Z,2
PLzMcBGfZo4-lOXGKoV-sIPKD7MOuHp3_Q,NYktbp1WFS8,Every Python Function Explained,2022-09-19T14:00:17Z,95659,3613,113,PT23M22S,hd,"['tech with tim', 'every python function', 'python function', 'python functions', 'python', 'python how to', 'how to create a python function', 'all python functions', 'learn python', 'python built in functions', 'python tutorial', 'learn python for beginners', 'python functions you need to know', 'python functions in english']",en-CA,False,Every Python Function,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2022-09-19T21:54:10Z,2
PLzMcBGfZo4-lOXGKoV-sIPKD7MOuHp3_Q,wsETdTd1rp8,Every Python Function Explained | H - Z,2022-10-07T13:34:51Z,29242,1192,27,PT27M59S,hd,"['tech with tim', 'every python function', 'python function', 'python functions', 'python', 'python how to', 'how to create a python function', 'all python functions', 'learn python', 'python built in functions', 'python tutorial', 'learn python for beginners', 'python functions you need to know', 'python functions in english']",en-CA,False,Every Python Function,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2022-09-19T21:54:10Z,2
PLzMcBGfZo4-mxNvOdf5XY-KidfoTzL_zo,ZzoAu4VPyho,CSS For Non-Web Developers - Tutorial - Part 1,2022-08-09T12:00:20Z,27367,926,64,PT57M11S,hd,['tech with tim'],en-CA,False,CSS Tutorial,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2022-08-05T19:26:34Z,2
PLzMcBGfZo4-mxNvOdf5XY-KidfoTzL_zo,vHiklIWMZA8,CSS For Non-Web Developers - Tutorial - Part 2,2022-08-15T14:34:50Z,11388,354,16,PT25M57S,hd,"['tech with tim', 'css tutorial', 'css for web developers', 'css', 'css for beginners', 'css examples', 'css project', 'learn css', 'css tech with tim', 'css practice', 'css project for practice', 'css project for beginners', 'css beginner tutorial', 'css tutorial zero to hero', 'tech with tim css', 'cascading style sheet', 'html css', 'css tutorial project', 'css example']",en-CA,False,CSS Tutorial,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2022-08-05T19:26:34Z,2
PLzMcBGfZo4-nyLTlSRBvo0zjSnCnqjHYQ,T_KrYLW4jw8,Rust Tutorial #1 - Introduction To Rust Programming,2022-05-09T17:50:48Z,348011,7460,239,PT15M9S,hd,"['tech with tim', 'rust tutorial introduction to rust programming', 'rust', 'rust programming', 'rust not the game', 'rust programming language', 'rust coding', 'how to code with rust', 'how to program with rust', 'rust programming tutorial', 'rust coding tutorial', 'rust book', 'what is the rust book', 'terminal commands', 'how to install rust', 'writing rust code', 'how to write rust code', 'compiling and running rust code', 'rust on mac', 'rust on linux', 'rust windows']",en-CA,False,Rust Programming Tutorial,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2022-05-09T17:50:05Z,9
PLzMcBGfZo4-nyLTlSRBvo0zjSnCnqjHYQ,gvgBUY8iNO4,"Rust Tutorial #2 - Using Rust Tools (cargo, rustfmt)",2022-05-11T15:04:32Z,111812,2684,83,PT9M14S,hd,"['tech with tim', 'rust tutorial introduction to rust programming', 'rust', 'rust programming', 'rust not the game', 'rust programming language', 'rust coding', 'how to code with rust', 'how to program with rust', 'rust programming tutorial', 'rust coding tutorial', 'rust book', 'what is the rust book', 'terminal commands', 'how to install rust', 'how to write rust code', 'compiling and running rust code', 'rust on mac', 'rust on linux', 'rust windows', 'rust command line tools', 'rust tools', 'cargo', 'rustfmt']",en-CA,False,Rust Programming Tutorial,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2022-05-09T17:50:05Z,9
PLzMcBGfZo4-nyLTlSRBvo0zjSnCnqjHYQ,xYgfW8cIbMA,"Rust Tutorial #3 - Variables, Constants and Shadowing",2022-05-15T15:00:24Z,83824,2718,111,PT15M10S,hd,"['tech with tim', 'rust tutorial introduction to rust programming', 'rust', 'rust programming', 'rust not the game', 'rust programming language', 'rust coding', 'how to code with rust', 'how to program with rust', 'rust programming tutorial', 'rust coding tutorial', 'rust book', 'what is the rust book', 'terminal commands', 'how to install rust', 'how to write rust code', 'compiling and running rust code', 'rust on mac', 'rust on linux', 'rust windows', 'rust command line tools', 'rust tools', 'cargo', 'rust variables']",en-CA,False,Rust Programming Tutorial,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2022-05-09T17:50:05Z,9
PLzMcBGfZo4-nyLTlSRBvo0zjSnCnqjHYQ,t047Hseyj_k,Rust Tutorial #4 - Data Types,2022-05-16T15:00:23Z,64852,1903,78,PT17M20S,hd,"['tech with tim', 'rust tutorial introduction to rust programming', 'rust', 'rust programming', 'rust not the game', 'rust programming language', 'rust coding', 'how to code with rust', 'how to program with rust', 'rust programming tutorial', 'rust coding tutorial', 'rust book', 'what is the rust book', 'terminal commands', 'how to install rust', 'how to write rust code', 'compiling and running rust code', 'rust on mac', 'rust on linux', 'rust windows', 'rust command line tools', 'rust tools', 'cargo', 'rust data types']",en-CA,False,Rust Programming Tutorial,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,2022-05-09T17:50:05Z,9
